id,created_at,updated_at,code,fabric_weave,currency,supplier_id,price,name,fabric_blend_one,fabric_blend_one_percent,fabric_blend_two,fabric_blend_two_percent,fabric_blend_three,fabric_blend_three_percent,weight,weight_unit,fabric_type,price_unit,status,published,description,dispatch_time_sample,factory_location,width,width_unit,finishing,dispatch_time_mass_quantity_min,dispatch_time_mass_quantity_max,minimal_order_quantity,uuid,notify_fc_team,moq,swatch_price,swatch_quantity,properties,only_for_brands,end_use,supp_name,supp_fabric_type,supp_specialty,supp_end_uses,supp_fibers,tiered_price_starts_from,tiered_price,var_colour,var_pantone,var_hex
2276,2021-04-30 09:47:50.602000+00:00,2021-07-29 15:00:06.378000+00:00,CIAO/ORG,Terry,EUR,44,15.9,XXXXXXXXXXerry Organic Cotton,Organic Cotton,100.0,blank_blend_1,0.0,blank_blend_2,0.0,460.0,g/m2,Knit,m,public,True,"Organic fibres are grown using a production system that replenishes the soil and maintains its fertility. No synthetic pesticides nor synthetic fertilizers are allowed, while at the same time contributing to biologically diverse agriculture. The organic cotton is certified by ICEA and Tessile Bio from AIAB association.",5-7 days,Italy,130.0,cm,blank_finishing,28.0,35.0,50.0,8aaf3c7b-b2c7-42f6-b447-b51a47241fde,False,50.0,2,36.0,[],[],"['Sweatshirt', 'Leggings / Yoga Pants', 'Blouse', 'Tracksuit', 'Cardigan']",XXXXXXXXXX,Knit,Recycled Natural Fibre,blank_end_uses,"Recycled Wool, Recycled Cotton",50.0,12.99,blank_colour,blank_pantone,blank_hex
1840,2020-12-09 15:16:21.547000+00:00,2021-06-19 04:39:06.515000+00:00,#0014BK11B0000,blank_weave,USD,67,32.0,XXXXXXXXXX0000,Recycled Cow Leather,60.0,Natural / Synthetic Latex,30.0,blank_blend_2,0.0,800.0,g/m2,Leather / Skin,m,private,True,"This new material is made from recycled leather. At production stage,Â  recycled leather scraps are being shredded and then further processed into a new leather-like material. The leather scraps are obtained from garden gloves factories which are usually sent to landfill. FOR SAMPLE, PLEASE ORDER THE RECYC LEATHER SWATCH BOOK",3 days,China,135.0,cm,Contains 10% natural pigment.,30.0,35.0,300.0,3b12dda3-66c6-4517-b0b1-8d8cc19881d6,False,300.0,2,0.0,[],['Archive'],"['Bags & Wallets', 'Shoes']",XXXXXXXXXXher,Others,Sustainable Leather ,"Accessories, Leather Goods, Luxury, New Innovation",Leather / Skin,300.0,32.0,blank_colour,blank_pantone,blank_hex
1814,2020-12-02 21:31:08.008000+00:00,2021-06-18 12:40:02.584000+00:00,N66-NF53PK0,blank_weave,USD,18,18.05,XXXXXXXXXXn Nylon,Nylon / Polyamide,100.0,blank_blend_1,0.0,blank_blend_2,0.0,77.0,g/m2,Woven,yard,public,True,N66 Nylon,5-7 days,Taiwan,144.0,cm,"FC-FREE DWR+3LAYER+Xpore PFC FREE NANO POROUS MEMB 15K/10K(JIS A1)+NYLON 10D TRICOT (A/P 0.15ccs,ASTM D737)",68.72727272727273,73.72727272727273,3000.0,e5aa4dae-587e-4b7a-a258-fb3f939a81eb,False,3000.0,2,8.0,"['Air Permeability', 'Breathable', 'Durable Water Repellent (DWR)', 'Moisture Permeability (M/P)', 'Water Repellent (W/R)', 'Waterproof (W/P)', 'Light Weight', 'Wind Proof']",[],"['Hardshell Jacket', 'Jacket']",XXXXXXXXXXCo Ltd,Woven,"High performance, technical fabrics","Snow, Outdoor, Urban, Mountain, Workwear","Recycled Nylon, Recycled Polyester",3000.0,18.05,blank_colour,blank_pantone,blank_hex
1924,2021-01-25 07:56:14.065000+00:00,2021-06-18 12:40:04.271000+00:00,RC112APQK,Ripstop,USD,18,18.05,XXXXXXXXXXtop Recycled Polyester,Recycled Polyester,100.0,blank_blend_1,0.0,blank_blend_2,0.0,98.0,g/m2,Woven,m,private,True,"22800m of greige fabric immediately available, shorter lead-time than usual",5-7 days,Taiwan,142.0,cm,C6 DWR+3LAYER+Xpore PFC FREE NANO POROUS MEMBRANE W/P 12000mm MVP 8000g/24H(JIS A1)PK334A,68.72727272727273,73.72727272727273,3000.0,a01c5b02-2492-49b7-a9e5-907f63455a68,False,3000.0,2,4.0,"['Breathable', 'Durable Water Repellent (DWR)', 'Waterproof (W/P)']","['Dimpora', 'Takalar', 'MCM Worldwide']","['Hardshell Jacket', 'Jacket']",XXXXXXXXXXCo Ltd,Woven,"High performance, technical fabrics","Snow, Outdoor, Urban, Mountain, Workwear","Recycled Nylon, Recycled Polyester",3000.0,18.05,blank_colour,blank_pantone,blank_hex
1255,2020-06-30 23:27:24.331000+00:00,2021-06-18 04:11:20.052000+00:00,Dotted Diamond Weave,blank_weave,USD,25,11.1,XXXXXXXXXXmond Weave Organic Cotton,Regenerative Organic Cotton,60.0,Hemp,40.0,blank_blend_2,0.0,115.0,g/m2,Handwoven,m,public,True,"Oshadi is building a farm-to-closet supply chain that focuses on developing the rural village cotton economy in India. Built in collaboration with Fibreshed, regenerative organic cotton is grown based on âdemand and supplyâ of cotton. Brand partners are allotted plots of land based on the volume of cotton required for production. This helps mitigate unnecessary textile waste, revive sustainable farming practices and facilitate fair income distribution throughout the textile supply chain.  One acre equals approximately 100 kilos of cotton per season. Crops can be better managed according to season, grown without the use of toxic pesticides or GMOs, and crops can by cycled (i.e. cotton is grown one season and natural dyes the next). The business model ensures long-term development for the farmers. Oshadiâs first brand partner for the project is Christy Dawn. This fabric is blended with GOTS certified yarn.",30,India,,cm,blank_finishing,45.0,50.0,50.0,9aee92d7-69f4-4c71-828e-381357725a53,False,50.0,2,0.0,[],[],"['Blouse', 'Dress', 'Skirt', 'Scarves']",XXXXXXXXXX,blank_fabrictype,"Wovens, small order",blank_end_uses,blank_fibers,50.0,11.1,blank_colour,blank_pantone,blank_hex
217,2019-04-16 11:16:13.802000+00:00,2021-07-27 14:27:46.645000+00:00,S615385,blank_weave,USD,4,2.55,XXXXXXXXXXeer Mesh Polyester Spandex,Polyester (PET),92.0,Elastane / OP / Spandex,8.0,blank_blend_2,0.0,126.0,g/m2,Knit,m,public,True,blank_description,5-7 days,Taiwan,152.0,cm,Wicking,32.351534072715616,37.38439510377549,6000.0,7f9d246e-594e-414b-9383-cfc889126aaa,False,6000.0,2,12.0,['Wicking (Quick Dry)'],[],"['Sports Bra', 'Yoga Pants']",XXXXXXXXXX Enterprise,Knit,"Lifestyle, Functional, Sports",blank_end_uses,"Nylon, Polyester, Cotton",6000.0,2.55,blank_colour,blank_pantone,blank_hex
2488,2021-06-17 16:07:32.233000+00:00,2021-06-19 05:19:35.133000+00:00,ROME 0524-PU,Plain,USD,68,11.0,XXXXXXXXXXcled Polyester,Recycled Polyester,100.0,blank_blend_1,0.0,blank_blend_2,0.0,107.0,g/m2,Woven,m,public,True,Recycled PET bottles and retrieved polyester fibres are the most common raw materials used for recycled polyester.,5 days,China,144.0,cm,'P/D+W/R+PU Coating,30.0,40.0,3000.0,M-240b9d29460a935-46-729,False,3000.0,2,12.0,"['Water Repellent (W/R)', 'Waterproof (W/P)']",[],"['Jacket', 'Pants', 'Shirt', 'Skirt', 'Shorts']",XXXXXXXXXX,Woven,Post consumer recycled synthetics,Outerwear,Recycled Synthetics,3000.0,11.0,blank_colour,blank_pantone,blank_hex
1256,2020-06-30 23:27:24.349000+00:00,2021-06-18 04:11:20.098000+00:00,Double Gauze Checks,blank_weave,USD,25,11.7,XXXXXXXXXXze Checks Organic Cotton,Regenerative Organic Cotton,100.0,blank_blend_1,0.0,blank_blend_2,0.0,170.0,g/m2,Handwoven,m,public,True,"Oshadi is building a farm-to-closet supply chain that focuses on developing the rural village cotton economy in India. Built in collaboration with Fibreshed, regenerative organic cotton is grown based on âdemand and supplyâ of cotton. Brand partners are allotted plots of land based on the volume of cotton required for production. This helps mitigate unnecessary textile waste, revive sustainable farming practices and facilitate fair income distribution throughout the textile supply chain.  One acre equals approximately 100 kilos of cotton per season. Crops can be better managed according to season, grown without the use of toxic pesticides or GMOs, and crops can by cycled (i.e. cotton is grown one season and natural dyes the next). The business model ensures long-term development for the farmers. Oshadiâs first brand partner for the project is Christy Dawn. This fabric is blended with GOTS certified yarn.",30,India,,cm,blank_finishing,45.0,50.0,50.0,f661dfe5-0e07-4121-bb02-5f937b27a961,False,50.0,2,0.0,[],[],"['Dress', 'Pants', 'Skirt', 'Shirt', 'Blouse', 'Scarves']",XXXXXXXXXX,blank_fabrictype,"Wovens, small order",blank_end_uses,blank_fibers,50.0,11.7,blank_colour,blank_pantone,blank_hex
633,2020-02-27 10:49:13.621000+00:00,2021-06-18 12:40:04.329000+00:00,RC259W20,Plain,USD,18,3.49,XXXXXXXXXXcled Polyester,Recycled Polyester,100.0,blank_blend_1,0.0,blank_blend_2,0.0,49.0,g/m2,Woven,m,public,True,blank_description,5-7 days,Taiwan,142.0,cm,R3 FC-FREE DWR+ CIRE,68.72727272727273,73.72727272727273,5000.0,044f750f-cd7a-458f-943d-60658b0b2017,False,5000.0,2,0.0,['Durable Water Repellent (DWR)'],[],"['Jacket', 'Puffer / Insulated Jacket', 'Softshell Jacket']",XXXXXXXXXXCo Ltd,Woven,"High performance, technical fabrics","Snow, Outdoor, Urban, Mountain, Workwear","Recycled Nylon, Recycled Polyester",5000.0,3.49,blank_colour,blank_pantone,blank_hex
2441,2021-06-17 05:47:30.504000+00:00,2021-07-27 14:40:53.240000+00:00,beLEAFâ¢ GREEN NATURAL MATTE CAMOUFLAGE,blank_weave,EUR,54,36.0,XXXXXXXXXXGREEN NATURAL MATTE CAMOUFLAGE,BeLeaf,100.0,blank_blend_1,0.0,blank_blend_2,0.0,0.0,g/m2,Leather / Skin,m,public,True,"Nova Kaeru has also developed a vegan âleatherâ alternative called beLeafâ¢, derived from the large tropical plant leaves (called âElephant Earâ) and tanned with an organic process. The tropical plant leaves are not monoculture, commercial crops â they are renewable resources that grow freely on the banks of forests and rivers. They are collected in sustainable areas near the Nova Kaeru facilities and planted together with reforestation farms. The close proximity of beLeafâ¢ production decreases the carbon footprint, and emissions are offset by the positive impact of reforestation, which provides oxygen to the atmosphere. In addition, organic waste from the tanning processes are composted and reused as soil nutrients to help protect biodiversity and waterways, and water from tanning is reused for irrigation of the plants. Nova Kaeru has developed its own organic, chrome-free tanning technology based on a blend of biodegradable acrylic resins, polymers, glutaraldehyde, synthetic & vegetable tannins. This more sustainable tanning approach leads to superior, quality materials free of heavy metals that are environmentally safe. PLEASE NOTE, THIS PRODUCT IS IRREGULAR IN SHAPE SO IT'S PRICED AND SOLD AS INDIVIDUAL PIECES - THE EXACT PRICE MIGHT VARY. THIS PRODUCT IS NOT AVAILABLE FOR SALE IN THE U.S.A.",1-5 days,Brazil,,cm,blank_finishing,45.0,50.0,1.0,M-3959aeca254634-3b-d3,False,1.0,2,0.0,[],[],"['Bags & Wallets', 'Caps & Hats', 'Shoes', 'Jacket', 'Pants', 'Skirt']",XXXXXXXXXXu,Leather / Plant leaf,Sustainable Leather,Garments/ Accessories/ Upholst,blank_fibers,1.0,36.0,blank_colour,blank_pantone,blank_hex
