variant_id,var_colour,var_pantone,var_hex,material_id
1847,000009,,,660
1848,000010,,,660
1849,000011,,,660
1850,000012,,,660
1851,000013,,,660
1852,000014,,,660
1853,000015,,,660
1856,000018,,,660
1858,000020,,,660
1859,000021,,,660
1484,Black,,,1344
2017,2,,,1136
1554,Greige Fabric,,,1144
2025,2,,,1137
2029,6,,,1137
2030,7,,,1137
1079,Wild Blue,18-3949,3850a0,391
1574,cabernet,19-1724,64242e,391
1575,mood indigo,19-4025,353a4c,391
1,pirate black,19-4305,363838,25
1549,Acqua Blue,,,1784
1626,pirate black,19-4305,363838,190
1591,10041,,,843
1592,10118,,,843
1593,10119,,,843
1594,10120,,,843
1595,10121,,,843
1596,10122,,,843
1597,10123,,,843
1598,10124,,,843
1599,10125,,,843
1600,10126,,,843
1605,10131,,,843
1606,10132,,,843
1607,10133,,,843
1608,10134,,,843
1609,10135,,,843
1610,10136,,,843
1611,10137,,,843
1612,10138,,,843
1613,10139,,,843
1614,10140,,,843
1615,10141,,,843
1616,10142,,,843
1617,10244,,,843
1618,10245,,,843
1619,10246,,,843
1620,10247,,,843
1631,007460,,,488
1628,007372,,,656
1629,005785,,,656
1627,007931,,,656
1076,Kaki,18-0523,5b5a41,391
1075,pirate black,19-4305,363838,391
1080,teal,17-4919,478589,391
1082,port royale,19-1627,502b33,391
1133,Red Guava,18-1564,ca3422,391
1078,Ice Floe,14-4105,babcc0,391
1994,Pink,,,2044
1989,Black,,,2039
372,000013,,,663
1656,00001,,,1804
1657,00001,,,1805
1659,00002,,,1807
263,000017,,,497
365,008307,,,656
1083,lychee,18-1654,ba0b32,391
1700,Black,,,1841
1709,Black,,,1850
233,silver,14-5002,a2a2a1,391
1995,Pink,,,2045
262,000007,,,496
1830,008263,,,486
2019,4,,,1136
2028,5,,,1137
2032,9,,,1137
1774,Off White,,,1915
1228,006885,,,492
1775,Black,,,1915
1229,008149,,,492
1132,- Bit of Blue,11-4601,e2eaeb,735
1154,- Moss Green,19-0511,545144,735
1670,baby blue,13-4308,b5c7d3,1812
1211,001506,,,497
1212,007504,,,497
1461,010010,,,491
2071,25,,,1191
2072,26,,,1191
2075,29,,,1191
2074,28,,,1191
2077,31,,,1191
1653,reactive dyes acc. Reach,,,1801
1231,001852,,,492
1230,008210,,,492
1641,000004,,,663
1457,010409,,,491
1460,010602,,,491
1493,010134,,,490
1779,008299,,,655
2006,Natural,,,2045
2020,5,,,1136
2036,14,,,1209
2058,33,,,1191
2061,36,,,1191
2064,38,,,1191
1651,reactive dyes acc. Reach,,,1799
1780,008298,,,655
1781,008297,,,655
1782,007643,,,493
1783,007812,,,493
1784,007977,,,493
1786,000003,,,662
1787,000004,,,662
1789,000006,,,662
1788,000005,,,662
1790,000009,,,662
1792,000012,,,662
1660,00010,,,1808
1661,00003,,,1804
1791,000011,,,662
756,off white,,,1145
1077,Iceberg,15-5209,87b9bc,391
1795,007191,,,487
1797,005786,,,487
1798,006981,,,487
1799,006982,,,487
1801,007191,,,487
1800,007149,,,487
1796,005785,,,487
1803,007232,,,487
1802,007227,,,487
1807,007906,,,487
1808,007960,,,487
1806,007755,,,487
