id,created_at,updated_at,code,fabric_weave,currency,supplier_id,price,name,fabric_blend_one,fabric_blend_one_percent,fabric_blend_two,fabric_blend_two_percent,fabric_blend_three,fabric_blend_three_percent,weight,weight_unit,end_use/0,end_use/1,end_use/2,fabric_type,price_unit,status,deleted_at,only_for_brands/0,published,description,dispatch_time_sample,factory_location,construction,width,width_unit,finishing,properties/0,dispatch_time_mass_quantity_min,dispatch_time_mass_quantity_max,origin,colour,tsa_stamps,minimal_order_quantity,crowd_source_available,moq_details,uuid,notify_fc_team,moq,swatch_price,swatch_quantity,archived_at,end_use/3,end_use/4,only_for_brands/1,properties/1,properties/2,properties/3,properties/4,properties/5,properties/6,properties/7,only_for_brands/2,end_use/5,properties/8,only_for_brands/3,only_for_brands/4,only_for_brands/5,only_for_brands/6,only_for_brands/7,end_use/6,end_use/7,only_for_brands/8,only_for_brands/9,only_for_brands/10,only_for_brands/11,only_for_brands/12,only_for_brands/13,only_for_brands/14,only_for_brands/15,only_for_brands/16,only_for_brands/17,only_for_brands/18,only_for_brands/19,only_for_brands/20,only_for_brands/21,only_for_brands/22
1025,2020-06-06T14:33:02.711Z,2020-11-09T18:06:45.718Z,LU-18F117 FR6195W/09,,USD,39,0.9,XXXXXXXXXX195W/09,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 18FW. Color Black,5-7 days,Thailand,106x84/56Tx84T,149,cm,P/D,,5,7,,,,0,,,d0f11f12-aab1-4f9e-9b80-878d7a638de3,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
1022,2020-06-06T14:33:02.665Z,2020-11-09T18:06:45.737Z,LU-18H001 FR2301LX/51,,USD,39,1.93,XXXXXXXXXX301LX/51,Polyester (PET),100,,,,,56,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 18SS. Color Green,5-7 days,Thailand,197x140/33Tx33T,149,cm,P/D+C0 DWR,,5,7,,,,0,,,97c0e5f7-adc0-4ceb-befd-d918978ce1db,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
1012,2020-06-06T14:33:02.505Z,2020-11-09T18:06:45.583Z,LU-18H002 FR2301MG/03,,USD,39,2.4,XXXXXXXXXX301MG/03,Polyester (PET),100,,,,,63,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 18SS. Color Gray,5-7 days,Thailand,187x144/33Tx54T,149,cm,P/D+C0 DWR,,5,7,,,,0,,,45728a8a-d92f-4e1c-9561-04368e50ab4f,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
993,2020-06-06T14:33:02.209Z,2020-11-09T18:06:45.622Z,LU-19H005 FR6195W/01,,USD,39,0.9,XXXXXXXXXX195W/01,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 19SS. Color Off White,5-7 days,Thailand,106x84/56Tx84T,148,cm,P/D,,5,7,,,,0,,,0d6fba8e-8dcd-4f4d-90ea-7d10866ffedd,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
965,2020-06-06T14:33:01.718Z,2020-11-09T18:06:45.661Z,LU-19F138 FR6195W/69,,USD,39,0.9,XXXXXXXXXX195W/69,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 19FW. Color Navy,5-7 days,Thailand,106x84/56Tx84T,149,cm,P/D,,5,7,,,,0,,,96ae59d5-4413-47ff-a310-d967be10e297,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
1016,2020-06-06T14:33:02.567Z,2020-11-09T18:06:45.699Z,LU-18H001 FR6195W/71,,USD,39,0.9,XXXXXXXXXX195W/71,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 18SS. Color Purple,5-7 days,Thailand,106x84/56Tx84T,149,cm,P/D,,5,7,,,,0,,,8a21e932-476e-44a8-a527-ec37068c1ae3,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
1571,2020-09-26T05:46:27.799Z,2020-11-09T18:06:46.102Z,LU-16F036 FR5054LX/65,,USD,39,1.61,XXXXXXXXXX054LX/65,Polyester (PET),100,,,,,50,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 16FW. Color Blue,5-7 days,Thailand,177x146/33Tx33T,140,cm,P/D+C0 DWR+CIRE INSIDE,,5,7,,,,0,,,c0f290b6-478b-4468-a3c0-4113a60b8fc0,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
969,2020-06-06T14:33:01.799Z,2020-11-09T18:06:45.680Z,LU-19F099 FR6195W/47,,USD,39,0.9,XXXXXXXXXX195W/47,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 19FW. Color Yellow,5-7 days,Thailand,106x84/56Tx84T,149,cm,P/D,,5,7,,,,0,,,eb81c3fa-f41c-4f67-88dc-ed607d6f7786,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
2029,2021-02-10T08:26:22.467Z,2021-05-28T11:30:57.215Z,EYEI0125/3/1047,Dobby,USD,71,0,XXXXXXXXXXllent Downproof Organic Cotton,Organic Cotton,100,,,,,102,g/m2,Jacket,Shirt,Skirt,Woven,m,private,,Bamford,TRUE,,5-7 days,Taiwan,,150,cm,PFC Free Water Repellent,Water Repellent (W/R),,,,,,0,,,ece852ef-82b9-4926-8fd3-3ca9dad20578,FALSE,0,2,3,,Puffer / Insulated Jacket,,,Downproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2019-03-17T11:16:56.705Z,2021-06-18T11:30:54.719Z,JF-430,Sherpa Fleece,USD,1,5.1,XXXXXXXXXXng Stretch Sherpa Fleece Polyester,Polyester (PET),100,,,,,300,g/m2,Casual Wear|Mid Layer|Soft Shell Jacket,,,Knit,m,private,,archive,TRUE,"Big pile fleece. Bulky, warm handfeel, insulate against cold.",5-7 days,Taiwan,Sherpa Fleece,145,cm,Anti-Pilling,Anti-Pilling,,,,,,5000,,,410ba7ab-b7e0-4ddb-8ef6-de2e76f5b60e,FALSE,5000,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
