id,material_id,starts_from,price,created_at,updated_at
3216,2134,100,8.02,2021-07-29T15:04:06.385Z,2021-07-29T15:04:06.385Z
3217,2145,31,13.64,2021-07-29T15:04:06.407Z,2021-07-29T15:04:06.407Z
3218,2145,100,12.4,2021-07-29T15:04:06.410Z,2021-07-29T15:04:06.410Z
3219,2146,31,10.45,2021-07-29T15:04:06.433Z,2021-07-29T15:04:06.433Z
3220,2146,100,9.5,2021-07-29T15:04:06.436Z,2021-07-29T15:04:06.436Z
3221,2138,31,33.55,2021-07-29T15:04:06.457Z,2021-07-29T15:04:06.457Z
3222,2138,100,30.5,2021-07-29T15:04:06.459Z,2021-07-29T15:04:06.459Z
3223,2153,31,13.31,2021-07-29T15:04:06.481Z,2021-07-29T15:04:06.481Z
3224,2153,100,12.1,2021-07-29T15:04:06.484Z,2021-07-29T15:04:06.484Z
3225,2159,31,21.23,2021-07-29T15:04:06.505Z,2021-07-29T15:04:06.505Z
3226,2159,100,19.3,2021-07-29T15:04:06.508Z,2021-07-29T15:04:06.508Z
3227,2154,31,9.35,2021-07-29T15:04:06.531Z,2021-07-29T15:04:06.531Z
3228,2154,100,8.5,2021-07-29T15:04:06.533Z,2021-07-29T15:04:06.533Z
3229,2158,31,19.36,2021-07-29T15:04:06.555Z,2021-07-29T15:04:06.555Z
3230,2158,100,17.6,2021-07-29T15:04:06.558Z,2021-07-29T15:04:06.558Z
3231,2157,31,17.38,2021-07-29T15:04:06.580Z,2021-07-29T15:04:06.580Z
3232,2157,100,15.8,2021-07-29T15:04:06.582Z,2021-07-29T15:04:06.582Z
3233,2155,31,19.25,2021-07-29T15:04:06.604Z,2021-07-29T15:04:06.604Z
3234,2155,100,17.5,2021-07-29T15:04:06.607Z,2021-07-29T15:04:06.607Z
3235,2152,31,15.62,2021-07-29T15:04:06.629Z,2021-07-29T15:04:06.629Z
3236,2152,100,14.2,2021-07-29T15:04:06.631Z,2021-07-29T15:04:06.631Z
3237,2160,31,20.46,2021-07-29T15:04:06.653Z,2021-07-29T15:04:06.653Z
3238,2160,100,18.6,2021-07-29T15:04:06.655Z,2021-07-29T15:04:06.655Z
3239,2156,31,21.89,2021-07-29T15:04:06.678Z,2021-07-29T15:04:06.678Z
3240,2156,100,19.9,2021-07-29T15:04:06.680Z,2021-07-29T15:04:06.680Z
3241,2161,31,18.26,2021-07-29T15:04:06.704Z,2021-07-29T15:04:06.704Z
3242,2161,100,16.6,2021-07-29T15:04:06.707Z,2021-07-29T15:04:06.707Z
3243,2162,31,11.33,2021-07-29T15:04:06.728Z,2021-07-29T15:04:06.728Z
3244,2162,100,10.3,2021-07-29T15:04:06.730Z,2021-07-29T15:04:06.730Z
3245,2163,31,14.52,2021-07-29T15:04:06.752Z,2021-07-29T15:04:06.752Z
3246,2163,100,13.2,2021-07-29T15:04:06.755Z,2021-07-29T15:04:06.755Z
3050,490,50,28.35,2021-07-28T08:59:59.959Z,2021-07-28T08:59:59.959Z
3051,490,300,18.9,2021-07-28T08:59:59.963Z,2021-07-28T08:59:59.963Z
3052,659,50,18.75,2021-07-28T09:00:00.226Z,2021-07-28T09:00:00.226Z
3053,659,300,12.5,2021-07-28T09:00:00.229Z,2021-07-28T09:00:00.229Z
3054,663,50,17.25,2021-07-28T09:00:00.268Z,2021-07-28T09:00:00.268Z
3055,663,300,11.5,2021-07-28T09:00:00.271Z,2021-07-28T09:00:00.271Z
1948,2309,300,8.9,2021-06-18T11:19:13.240Z,2021-06-18T11:19:13.240Z
1949,2284,300,12.95,2021-06-18T11:19:13.272Z,2021-06-18T11:19:13.272Z
1950,2282,300,18.7,2021-06-18T11:19:13.297Z,2021-06-18T11:19:13.297Z
1951,2287,300,13.6,2021-06-18T11:19:13.317Z,2021-06-18T11:19:13.317Z
3056,657,80,19.2,2021-07-28T09:00:00.303Z,2021-07-28T09:00:00.303Z
1952,2299,300,9.2,2021-06-18T11:19:13.338Z,2021-06-18T11:19:13.338Z
1953,2308,300,6.95,2021-06-18T11:19:13.366Z,2021-06-18T11:19:13.366Z
3057,657,300,12.8,2021-07-28T09:00:00.306Z,2021-07-28T09:00:00.306Z
3058,658,50,22.43,2021-07-28T09:00:00.349Z,2021-07-28T09:00:00.349Z
3059,658,300,14.95,2021-07-28T09:00:00.352Z,2021-07-28T09:00:00.352Z
3060,487,200,15.54,2021-07-28T09:00:00.377Z,2021-07-28T09:00:00.377Z
3061,487,500,11.95,2021-07-28T09:00:00.379Z,2021-07-28T09:00:00.379Z
3062,489,200,14.56,2021-07-28T09:00:00.410Z,2021-07-28T09:00:00.410Z
3063,489,500,11.2,2021-07-28T09:00:00.413Z,2021-07-28T09:00:00.413Z
3064,661,50,15.45,2021-07-28T09:00:00.431Z,2021-07-28T09:00:00.431Z
3065,661,300,10.3,2021-07-28T09:00:00.434Z,2021-07-28T09:00:00.434Z
3066,2255,100,11.25,2021-07-28T09:00:00.454Z,2021-07-28T09:00:00.454Z
3067,2255,500,7.5,2021-07-28T09:00:00.457Z,2021-07-28T09:00:00.457Z
3068,2245,500,9.95,2021-07-28T09:00:00.493Z,2021-07-28T09:00:00.493Z
3069,2245,200,12.94,2021-07-28T09:00:00.496Z,2021-07-28T09:00:00.496Z
3070,2258,80,17.85,2021-07-28T09:00:00.545Z,2021-07-28T09:00:00.545Z
3071,2258,300,11.9,2021-07-28T09:00:00.548Z,2021-07-28T09:00:00.548Z
3072,2259,50,42.45,2021-07-28T09:00:00.569Z,2021-07-28T09:00:00.569Z
3073,2259,300,28.3,2021-07-28T09:00:00.572Z,2021-07-28T09:00:00.572Z
3074,662,50,14.93,2021-07-28T09:00:00.593Z,2021-07-28T09:00:00.593Z
3075,662,300,9.95,2021-07-28T09:00:00.596Z,2021-07-28T09:00:00.596Z
3354,2360,300,4.25,2021-07-29T15:11:11.656Z,2021-07-29T15:11:11.656Z
3355,2363,50,8.39,2021-07-29T15:11:11.675Z,2021-07-29T15:11:11.675Z
3356,2363,300,6.45,2021-07-29T15:11:11.677Z,2021-07-29T15:11:11.677Z
3357,2357,50,8.78,2021-07-29T15:11:11.696Z,2021-07-29T15:11:11.696Z
3358,2357,300,6.75,2021-07-29T15:11:11.698Z,2021-07-29T15:11:11.698Z
3359,2358,50,7.09,2021-07-29T15:11:11.717Z,2021-07-29T15:11:11.717Z
3360,2358,300,5.45,2021-07-29T15:11:11.720Z,2021-07-29T15:11:11.720Z
3361,2354,50,7.65,2021-07-29T15:11:11.739Z,2021-07-29T15:11:11.739Z
3362,2354,300,5.9,2021-07-29T15:11:11.741Z,2021-07-29T15:11:11.741Z
3363,2355,50,7.09,2021-07-29T15:11:11.761Z,2021-07-29T15:11:11.761Z
3364,2355,300,5.45,2021-07-29T15:11:11.763Z,2021-07-29T15:11:11.763Z
3365,2353,50,6.05,2021-07-29T15:11:11.782Z,2021-07-29T15:11:11.782Z
3366,2353,300,4.65,2021-07-29T15:11:11.785Z,2021-07-29T15:11:11.785Z
3367,2356,50,10.25,2021-07-29T15:11:11.804Z,2021-07-29T15:11:11.804Z
