id,status,type,quantity,requested_at,closed_at,delay_days,delay_note,material_id,user_id,project_id,created_at,updated_at,order_id,price,price_unit,surcharge,accepted_at,deleted_at,origin_quantity,variant_id,currency,bought_price
574,initial,sample,1,2020-08-03T16:33:30.217Z,2020-08-10T03:37:31.122Z,,,1215,260,,2020-08-03T16:32:44.522Z,2020-09-02T07:51:01.742Z,,25,,,,,,819,,
566,delivered,sample,1,2020-08-03T13:32:26.865Z,,0,We have this color available on a small size. We will only charge half price on this.,1403,260,,2020-08-03T13:31:42.130Z,2021-05-27T14:23:34.959Z,139,12.76,,7,2020-08-05T12:37:35.273Z,,,996,USD,19.76
500,delivered,swatch,1,2020-07-27T10:26:16.244Z,,10,,1190,168,,2020-07-24T19:29:05.849Z,2021-05-03T19:24:02.848Z,137,0,,,2020-07-28T13:43:10.705Z,,,794,USD,0
610,delivered,swatch,1,2020-08-13T08:33:06.698Z,,,,1215,151,,2020-08-13T08:31:43.817Z,2021-05-03T19:24:03.174Z,144,0,,,,,,819,USD,0
498,delivered,swatch,1,2020-07-27T10:26:16.244Z,,60,This product is from previous and has to be made on demand with longer lead time,381,168,,2020-07-24T19:04:01.093Z,2021-05-03T19:24:03.237Z,137,0,,,2020-07-28T13:43:24.538Z,,,223,USD,0
651,delivered,swatch,1,2020-08-25T12:01:59.516Z,,,,736,264,,2020-08-25T11:25:09.752Z,2021-05-03T19:24:03.468Z,143,0,,,,,,411,USD,0
604,initial,sample,10,,,,,497,257,,2020-08-11T11:43:08.104Z,2020-09-02T07:51:02.291Z,,8.07,,,,,,263,,
561,delayed,sample,1,2020-08-03T13:32:26.865Z,2020-08-27T04:53:19.903Z,14,This item is out of stock. It will be available around 2 weeks.,1383,260,,2020-08-03T13:20:31.594Z,2020-09-02T07:51:01.565Z,,27.5,,,2020-08-05T12:37:31.969Z,,,976,,
625,available,sample,2,2020-08-17T03:05:02.348Z,2020-08-27T04:53:29.226Z,0,,1334,260,,2020-08-17T03:04:47.094Z,2020-09-02T07:51:02.607Z,,25,,,,,,927,,
1892,delivered,sample,1,2021-07-06T20:38:05.052Z,,0,,2443,534,,2021-07-06T20:37:28.762Z,2021-07-12T08:24:14.350Z,266,36,,,,,,2704,EUR,36
1889,delivered,swatch,1,2021-07-21T11:40:38.160Z,,,,1802,168,,2021-07-01T06:48:56.580Z,2021-08-03T07:33:03.252Z,277,2,,,,,,1654,USD,2
1894,initial,swatch,1,,,,,742,567,,2021-07-06T23:05:10.093Z,2021-07-06T23:05:10.093Z,,2,,,,,,417,,0
