id,colour_name,pantone,hex,material_id,created_at,updated_at,deleted_at,image,leftover
105,,,,138,2020-09-02T07:48:24.389Z,2020-10-19T08:19:01.318Z,,,0
106,,,,140,2020-09-02T07:48:24.403Z,2020-10-19T08:19:01.329Z,,,0
108,,,,143,2020-09-02T07:48:24.429Z,2020-10-19T08:19:01.351Z,,,0
109,,,,144,2020-09-02T07:48:24.442Z,2020-10-19T08:19:01.362Z,,,0
111,,,,146,2020-09-02T07:48:24.469Z,2020-10-19T08:19:01.386Z,,,0
112,,,,147,2020-09-02T07:48:24.482Z,2020-10-19T08:19:01.397Z,,,0
115,,,,150,2020-09-02T07:48:24.521Z,2020-10-19T08:19:01.431Z,,,0
117,,,,152,2020-09-02T07:48:24.547Z,2020-10-19T08:19:01.454Z,,,0
118,,,,153,2020-09-02T07:48:24.560Z,2020-10-19T08:19:01.466Z,,,0
120,,,,155,2020-09-02T07:48:24.588Z,2020-10-19T08:19:01.490Z,,,0
121,,,,156,2020-09-02T07:48:24.601Z,2020-10-19T08:19:01.501Z,,,0
123,,,,158,2020-09-02T07:48:24.627Z,2020-10-19T08:19:01.524Z,,,0
124,,,,159,2020-09-02T07:48:24.639Z,2020-10-19T08:19:01.535Z,,,0
126,,,,161,2020-09-02T07:48:24.665Z,2020-10-19T08:19:01.558Z,,,0
127,,,,162,2020-09-02T07:48:24.678Z,2020-10-19T08:19:01.570Z,,,0
129,,,,164,2020-09-02T07:48:24.703Z,2020-10-19T08:19:01.592Z,,,0
130,,,,165,2020-09-02T07:48:24.716Z,2020-10-19T08:19:01.602Z,,,0
132,,,,175,2020-09-02T07:48:24.741Z,2020-10-19T08:19:01.624Z,,,0
133,,,,176,2020-09-02T07:48:24.754Z,2020-10-19T08:19:01.635Z,,,0
136,,,,179,2020-09-02T07:48:24.793Z,2020-10-19T08:19:01.668Z,,,0
138,,,,181,2020-09-02T07:48:24.818Z,2021-03-06T07:52:02.326Z,,,0
144,,,,189,2020-09-02T07:48:24.895Z,2020-11-16T17:39:54.363Z,,,1
146,,,,191,2020-09-02T07:48:24.921Z,2020-11-17T14:44:11.536Z,,,10
158,,,,203,2020-09-02T07:48:25.152Z,2020-11-18T13:03:39.234Z,,,1
259,007642,,,493,2020-09-02T07:48:26.499Z,2021-02-18T09:19:31.791Z,,,0
